Category,Item,Version (current),Severity,Finding,Recommendation,Status,Reference
Dependency-Vuln,cryptography,46.0.6,High (theoretical),"GHSA-r6ph-v2qm-q3c2 / CVE-2026-26007 — SECT curves subgroup validation. Was affecting <= 46.0.4.",Upgraded to >= 46.0.5.,REMEDIATED — pinned to 46.0.6 in requirements.txt,https://github.com/advisories/GHSA-r6ph-v2qm-q3c2
Dependency-Vuln,cryptography,46.0.6,Moderate,"GHSA-79v4-65xg-pq4g / CVE-2024-12797 — Bundled OpenSSL CVE in wheels < 44.0.1.",Upgraded to >= 44.0.1.,REMEDIATED — 46.0.6 includes the patched OpenSSL,https://github.com/advisories/GHSA-79v4-65xg-pq4g
Dependency-Vuln,cryptography,46.0.6,Moderate,GHSA-h4gh-qq45-vh27 — historic bundled-OpenSSL CVE for 37.0.0 - 43.0.0. Already mitigated at 43.0.1.,No action.,NO ACTION (already on patched side),https://github.com/advisories/GHSA-h4gh-qq45-vh27
Dependency-Vuln,cryptography,46.0.6,Low,GHSA-m959-cc7f-wv43 — X.509 wildcard SAN bypass < 46.0.6.,Upgrade.,REMEDIATED — pinned to 46.0.6,https://github.com/advisories/GHSA-m959-cc7f-wv43
Dependency-Vuln,liboqs (C library),0.12.0,Informational,"Dockerfile previously cloned from `main` (non-reproducible).","Pin LIBOQS_REF to a release tag.",REMEDIATED — LIBOQS_REF defaults to 0.12.0,deploy/Dockerfile line 12
Dependency-Vuln,liboqs (C library),0.12.0,Moderate (historic),"GHSA-f2v9-5498-2vpp — Kyber timing leak fixed in 0.10.1.",Verify pinned ref >= 0.10.1.,REMEDIATED — 0.12.0 > 0.10.1,https://github.com/open-quantum-safe/liboqs/security/advisories/GHSA-f2v9-5498-2vpp
Dependency-Vuln,liboqs (C library),0.12.0,High (historic),GHSA-gpf4-vrrw-r8v7 — HQC bug. Minimal build excludes HQC.,No action.,NO ACTION (HQC excluded by OQS_MINIMAL_BUILD),https://github.com/open-quantum-safe/liboqs/security/advisories
Dependency-Vuln,liboqs (C library),0.12.0,Moderate (historic),GHSA-qq3m-rq9v-jfgm — HQC branching bug. Minimal build excludes HQC.,No action.,NO ACTION (HQC excluded),https://github.com/open-quantum-safe/liboqs/security/advisories
Dependency-Vuln,liboqs-python,0.14.1,Informational,No public advisories.,Watch the feed.,NO ACTION,https://github.com/open-quantum-safe/liboqs-python
Dependency-Vuln,fastapi,0.115.0,None known,No advisories affecting 0.115.0.,Watch.,NO ACTION,https://github.com/fastapi/fastapi/security/advisories
Dependency-Vuln,uvicorn,0.32.0,None known,No advisories.,Watch.,NO ACTION,https://github.com/encode/uvicorn/security/advisories
Dependency-Vuln,pydantic,2.9.2,None known,No advisories affecting 2.9.2.,Watch.,NO ACTION,https://github.com/pydantic/pydantic/security/advisories
Dependency-Vuln,argon2-cffi,23.1.0,None known,No advisories.,Watch.,NO ACTION,https://github.com/p-h-c/phc-winner-argon2/security/advisories
Dependency-Vuln,slowapi,0.1.9,None known,Newly added for rate limiting; no advisories.,Watch.,NEW DEPENDENCY,https://github.com/laurentS/slowapi
Dependency-Vuln,Python base image,python:3.12-slim,Informational,Image tag mutable; no apt-get upgrade previously.,Pin and rebuild on cadence.,PARTIAL — `apt-get upgrade -y` added in builder + runtime layers; tag still floating. Pin to a digest in production.,deploy/Dockerfile
License,fastapi,0.115.0,—,MIT.,Notice retention.,NOTED in NOTICES.md,https://github.com/fastapi/fastapi/blob/master/LICENSE
License,uvicorn,0.32.0,—,BSD-3-Clause.,Notice retention.,NOTED in NOTICES.md,https://github.com/encode/uvicorn/blob/master/LICENSE.md
License,pydantic,2.9.2,—,MIT.,Notice retention.,NOTED in NOTICES.md,https://github.com/pydantic/pydantic/blob/main/LICENSE
License,cryptography,46.0.6,—,Apache-2.0 OR BSD-3-Clause.,Retain notices.,NOTED in NOTICES.md,https://github.com/pyca/cryptography/blob/main/LICENSE
License,argon2-cffi,23.1.0,—,MIT (bindings); Apache-2.0 / CC0 (reference impl).,Retain notices.,NOTED in NOTICES.md,https://github.com/hynek/argon2-cffi/blob/main/LICENSE
License,slowapi,0.1.9,—,MIT.,Retain notices.,NOTED in NOTICES.md,https://github.com/laurentS/slowapi
License,liboqs-python,0.14.1,—,MIT.,Notice retention.,NOTED in NOTICES.md,https://github.com/open-quantum-safe/liboqs-python
License,liboqs (C library),0.12.0,—,MIT (with subfolder licenses for some algorithms).,Bundle LICENSE.txt; re-audit if OQS_MINIMAL_BUILD widened.,NOTED in NOTICES.md,https://github.com/open-quantum-safe/liboqs/blob/main/LICENSE.txt
License,Google Fonts CDN,—,—,Was loaded at runtime.,Self-host or drop.,REMEDIATED — Google Fonts links removed from index.html; system mono fallback used,app/ui/index.html
License,Python 3.12 (slim base image),3.12-slim,—,PSF + Debian (mixed including GPL).,SBOM for redistribution.,NOTED in NOTICES.md,https://docs.python.org/3/license.html
Code,api/auth.py,—,Low,"C-01: verify() iterates over all non-revoked tokens. O(n) but constant-time per row.",Optional optimization; no security impact at small scale.,DEFERRED (acceptable as-is),app/api/auth.py
Code,api/auth.py,—,Low,"C-02: Token storage uses unsalted SHA-384(token). 256-bit secret entropy makes brute force infeasible.",Optional HMAC for defense in depth.,DEFERRED (acceptable as-is),app/api/auth.py
Code,api/routes.py,—,Low,"C-03: Several handlers reflected raw exception strings to clients.",Log + generic message.,REMEDIATED — `_safe_call` helper + per-handler try/except blocks log via `pqkms.api` and return generic 400 / 500 messages,app/api/routes.py
Code,api/routes.py,—,Medium,"C-04: No request-size limit.",Add a body-size middleware.,"REMEDIATED — `BodySizeLimitMiddleware` enforces `PQKMS_MAX_BODY_BYTES` (default 16 MiB), returns 413; per-field max_length added to Pydantic models",app/main.py + app/api/routes.py
Code,api/routes.py,—,Low,"C-05: No rate limiting.",Add slowapi or proxy limits.,"REMEDIATED — slowapi Limiter wired into every route with per-IP defaults: 600/min for crypto ops, 30/min for key creation, 10/min for token / rotate / audit-verify",app/main.py + app/api/routes.py
Code,storage/audit.py,—,Low,"C-06: Audit canonicalization uses pipe separators; fragile if any field contained a `|`.",Switch to length-prefixed framing or canonical JSON.,DEFERRED — would break existing audit chains. All fields are server-controlled today; no exploitable path. To be addressed in a future schema-version migration.,app/storage/audit.py
Code,storage/keystore.py + crypto/aead.py,—,Low (operational),"C-07: AES-256-GCM random 96-bit nonces; ~2^32 message limit.",Add usage counter + auto-rotate.,"DOCUMENTED — README hardening section now mandates rotation before ~2^32 messages per key version. Auto-enforcement deferred to a future schema change.",README.md
Code,crypto/kdf.py,—,Informational,"C-08: Argon2id parameters; passphrase entropy is the weakest link.","Document a minimum entropy requirement; reject short passphrases at startup.","REMEDIATED — `_validate_passphrase()` enforces `PQKMS_MIN_PASSPHRASE_LEN` (default 16) at startup; container exits if too short",app/main.py
Code,app/ui/index.html,—,Medium,"C-09: Admin UI loaded fonts from fonts.googleapis.com / fonts.gstatic.com.","Self-host fonts; add CSP.","REMEDIATED — third-party <link> tags removed; system monospace/serif fallbacks used; CSP header set via SecurityHeadersMiddleware (`script-src 'self'; font-src 'self'; frame-ancestors 'none'`)",app/ui/index.html + app/main.py
Code,app/ui/index.html,—,Low,"C-10: Bearer token in sessionStorage; CSP not set; inline <script>.","Add CSP; move JS external; consider HttpOnly session model.","REMEDIATED — JS extracted to /ui/static/app.js; strict CSP attached. sessionStorage retained (a separate session-cookie model is a larger refactor).",app/ui/app.js + app/ui/index.html + app/main.py
