scan_id,finding_id,scan_index,severity,confidence,rule_id,cwe,title,location,classification,reason
7920a870-c786-4651-9188-a6657445a2b0,a6918553-f0a5-4e2f-9bc0-1ae27f1d366b,0,high,firm,generic-secret-assignment,CWE-798,Leaked secret: Generic Secret Assignment,pqkms\deploy\docker-compose.ha.yml:67,false_positive,"Not a hardcoded secret: the value is a runtime read from a Docker secret file via shell command substitution (export PGPASSWORD=""$(cat /run/secrets/postgres_password)""). No literal credential is present in the file. Heuristic: PASSWORD=... assigned from $(cat /run/secrets/...) or ${ENV} is a reference, not a secret."
7920a870-c786-4651-9188-a6657445a2b0,7972dcb6-66c0-4aea-bdd0-ab3db3090075,1,high,firm,generic-secret-assignment,CWE-798,Leaked secret: Generic Secret Assignment,pqkms\deploy\docker-compose.ha.yml:87,false_positive,"Not a hardcoded secret: the value is a runtime read from a Docker secret file via shell command substitution (export PGPASSWORD=""$(cat /run/secrets/postgres_password)""). No literal credential is present in the file. Heuristic: PASSWORD=... assigned from $(cat /run/secrets/...) or ${ENV} is a reference, not a secret."
7920a870-c786-4651-9188-a6657445a2b0,891c27e2-c357-483a-9655-539558e6e440,2,high,firm,config-audit/config-hardcoded-secret,CWE-798,Config: potential hardcoded secret,scan-474d113d-bfae-401d-aa35-b790cdd5522e.json,false_positive,"The flagged file is the security scanner's OWN previous output (scan-*.json), not application source. Scanner result artifacts should be excluded from scanning; this repo now gitignores scan-*.json."
7920a870-c786-4651-9188-a6657445a2b0,7593cfe0-5812-4f10-bc7c-50641ef07668,3,high,firm,config-audit/config-weak-password,CWE-798,Config: default/weak password detected,pqkms\deploy\docker-compose.ha.yml:67,false_positive,"No literal/default password exists: the matched value is $(cat /run/secrets/postgres_password), a runtime secret-file read. Command-substitution values must not be treated as weak/default passwords."
7920a870-c786-4651-9188-a6657445a2b0,a74f317d-1e06-4ad3-aa24-df4bd613724c,4,medium,firm,odbc-connection-string,CWE-798,Leaked secret: ODBC Connection String with Password,pqkms\deploy\docker-compose.ha.yml:67,false_positive,"Not a hardcoded connection string: PGPASSWORD is populated at runtime from a mounted Docker secret via $(cat /run/secrets/postgres_password); the literal is a command substitution, not a credential."
7920a870-c786-4651-9188-a6657445a2b0,5a831b42-f216-4a67-9754-44194a18c9f3,5,medium,firm,odbc-connection-string,CWE-798,Leaked secret: ODBC Connection String with Password,pqkms\deploy\docker-compose.ha.yml:87,false_positive,"Not a hardcoded connection string: PGPASSWORD is populated at runtime from a mounted Docker secret via $(cat /run/secrets/postgres_password); the literal is a command substitution, not a credential."
7920a870-c786-4651-9188-a6657445a2b0,f6032592-de8c-426c-be49-ea5a379d9ad2,6,high,tentative,python.ssrf.variable-url,CWE-918,Potential SSRF â€” `urllib.request.urlopen()` with variable URL,pqkms\tests\e2e_integration.py:81,false_positive,Test-only code (tests/e2e_integration.py): the request targets a constant loopback URL (http://127.0.0.1:{PORT}) of a server the test itself spawned; PORT is a fixed local integer with no user/remote input. Not shipped in the application or container image. No SSRF reachability.
7920a870-c786-4651-9188-a6657445a2b0,6e51aaf8-951b-43bc-85af-6fd4564820a5,7,high,tentative,python.ssrf.variable-url,CWE-918,Potential SSRF â€” `urllib.request.urlopen()` with variable URL,pqkms\tests\e2e_integration.py:108,false_positive,Test-only code (tests/e2e_integration.py): the request targets a constant loopback URL (http://127.0.0.1:{PORT}) of a server the test itself spawned; PORT is a fixed local integer with no user/remote input. Not shipped in the application or container image. No SSRF reachability.
7920a870-c786-4651-9188-a6657445a2b0,3bbaddbf-785b-4680-a8e5-a116c0df8d6a,8,high,tentative,python.ssrf.variable-url,CWE-918,Potential SSRF â€” `urllib.request.urlopen()` with variable URL,pqkms\tests\e2e_integration.py:196,false_positive,Test-only code (tests/e2e_integration.py): the request targets a constant loopback URL (http://127.0.0.1:{PORT}) of a server the test itself spawned; PORT is a fixed local integer with no user/remote input. Not shipped in the application or container image. No SSRF reachability.
7920a870-c786-4651-9188-a6657445a2b0,edc5d473-3c6b-453c-bec1-986ec62d939e,9,high,tentative,python.ssrf.variable-url,CWE-918,Potential SSRF â€” `urllib.request.urlopen()` with variable URL,pqkms\tests\e2e_integration.py:203,false_positive,Test-only code (tests/e2e_integration.py): the request targets a constant loopback URL (http://127.0.0.1:{PORT}) of a server the test itself spawned; PORT is a fixed local integer with no user/remote input. Not shipped in the application or container image. No SSRF reachability.
